word,definition,derived_from
Bit-abi-ilaʾi I,,
Bit-balaṭi I,,
Bit-hare I,,
Bit-kari I,,
Bit-kunukki-bissu I,,
Bit-reš I,,
Bit-reʾi I,,
Bit-Šamaš I,,
Bit-Šamaš II,,
Bit-Šelebuna I,,
Bit-Šilanu I,,
Bit-ša-muhhi-ali I,,
Bita I,,
Bitati I,,
Bišu I,,
Buadi-Iau I,,
Bube I,,
Bubilu I,,
Bubutu I,,
Budanuše I,,
Budi-Baʾal I,,
Bulalu I,,
Bullussa-rabi I,,
Bulluṭa I,,
Bulluṭu I,,
Bunene I,,
Bur-Sagale I,,
Bur-Sila I,,
Bur-šarri I,,
Buranun I,,
Buraqa I,,
Burati I,,
Bure I,,
Burqayu I,,
Burrim I,,
Burtayu I,,
Burte I,,
Buru I,,
Buru-abu-uṣur I,,
Buru-naṣaba I,,
Burukutunte I,,
Burunatu I,,
Buruqu I,,
Busi-ili I,,
Busuku I,,
Bususaya I,,
Bususu I,,
Buʾšaya I,,
DAKsû I,,
Dada I,,
Dadaya I,,
Dadmuš I,,
Dadu I,,
Dadunu I,,
Dadusu I,,
Daluwa I,,
Damu I,,
Damunaya I,,
Dananu I,,
Dannina I,,
Dannu-Nergal I,,
Danuni I,,
Dapinu I,,
Darataya I,,
Darati I,,
Darura I,,
Dasukku I,,
Dayyanu I,,
Dayyanu II,,
Dayyanu-Adad I,,
Deru I,,
Dikud I,,
Dikudanki I,,
Dikudsisa I,,
Dinanu I,,
Du'ūzu I,"""Tammuz"" (4th Bab. month) j/NB [ITI.ŠU(.NUMUN.A/NA); ITI.ŠU.GAR.NUMUN.NA]",Sum. 
Duduʾa I,,
Dummuqa I,,
Dummuqu I,,
Dunnu I,,
Dunnu-sa'idu I,,
Duru I,,
Duru-ša-Yakin I,,
Duruna I,,
Dususu I,,
E'UDtaš I,,
E'eanki I,,
E'emuša I,,
E'engura I,,
E'ezensagusa I,,
E'udgalgal I,,
E'uršaba I,,
EKAkuga I,,
Ea I,,
Ea'ūtu I,"""Ea-ship"" j/NB [dDIŠ- ; dIDIM- ], i.e. the rôle of the god Ea;",DN Ea 
Ea-kurbanni I,,
Ea-šarru I,,
Ea-šarru-ibni I,,
Eakkil I,,
Eana I,,
Eannakku I,"""(the temple) Eanna"" OAkk;",Sum. 
Ebabbara I,,
Ebaradurgara I,,
Eber nāri I,"""across the river"", i.e. Syria west of Euphrates NA, NB;",ebēru I + nāru I
Eber-nari I,,
Ebih I,,
Ebirtu I,"(month at Mari) OAkk, OB",
Ebissi-šarri I,,
Eburšušua I,,
Edadaglal I,,
Edammītu I,(a title of Ištar) jB lex.;,edammû I
Edasu I,,
Edaya I,,
Edi-ilu I,,
Edimgalanna I,,
Edimgalkalama I,,
Edu-lešir I,,
Edu-qidira I,,
Edu-šallim I,,
Eduba I,,
Edublamah I,,
Edumununa I,,
Egainunšaršar I,,
EgalIM I,,
Egalgina I,,
Egallammalugal I,,
Egalmah I,,
Egalriri I,,
Egašantinna I,,
Egida I,,
Egidimdim I,,
Egigar I,,
Egiguna I,,
Eginuna I,,
Egipar I,,
Egipariminbi I,,
Egissubidugga I,,
Egubiduga I,,
Egula I,,
Ehalanki I,,
Ehe I,,
Ehenuna I,,
Ehili-Inanna I,,
Ehiliana I,,
Ehilidiriga I,,
Ehilikuga I,,
Ehimannaya I,,
Ehiya I,,
Ehiye I,,
Ehuba I,,
Ehursagkalama I,,
Eibianum I,,
Eigihuša I,,
Eigikalamma I,,
Ekallati I,,
Ekallitu I,,
Ekašbar I,,
Ekid I,,
Ekinašatenna I,,
Ekisiga I,,
Ekitušgirzal I,,
Ekiur I,,
Ekišnugal I,,
Ekkena I,(a month) OB(Alal.);,Hurr. 
Ekur I,,
Ekur-dumununa I,,
Ekur-igigal I,,
Ekur-zakir I,,
Ekurkuru I,,
Ekurnizu I,,
Elam I,,
Elamattu I,,
Elamatu I,"""(goddess) of Elam"" O/jB [ELAM.MA- ] name of the Bow star (qaštu); also MN at Susa;",elamû I
Elamaya I,,
Elamtu I,,
Elamu I,,
Elila I,,
Elizki I,,
Elizzada I,,
Ellil I,"[dEN.LÍL; d50; NA dBAD]  1. the god Enlil2. Bab.(lit.) desig. of the supreme deity, E. ilī ""E. of the gods"", of Marduk, Aššur, Nergal, Ninurta",Ellillatu I Ellilūtu I
Ellil-belšunu I,,
Ellil-ibni I,,
Ellil-kaṣir I,,
Ellil-šum-imbi I,,
Ellilatu I,"(desig. of supreme goddess) jB [dEN.LÍL.LÁ- ] of Ištar, Ninlil;",Ellil I
Ellilbanda I,,
Ellilūtu I,"""power of Enlil, divine supremacy"" O/jB [dEN.LÍL(.LÁ)- ; M/jB dBAD- ] of Enlil, Marduk, Aššur, Sîn, Ištar, Ninlil;",Ellil I
Ellipaya I,,
Ellipi I,,
Elulu I,,
Elūnu I,"(a festival; 6th Bab. month) [ITI.KIN(.dINNIN.NA)]; OAkk, OB ""(festival of) E.""; ""month of E."", also ""second (NB šanû, NA urkiu) E.""; PN E/Ululāyu",
Emah I,,
Emahtila I,,
Emeda I,,
Emekiliburur I,,
Emelamana I,,
Emeslam I,,
Emeteursag I,,
Emutbal I,,
EnLU I,,
Enambizida I,,
Enamena I,,
Enamhe I,,
Enammah I,,
Enamtila I,,
Enamzu I,,
Enanun I,,
Enati I,,
Enbiluh I,,
Enbiluha I,,
Enbilulu I,,
Enbule I,,
Enbuluga I,,
Endašurimma I,,
Endukuga I,,
Enganu I,,
Engar I,,
Engidudu I,,
Engur I,,
Eni-il I,,
Enidimanki I,,
Enigalapsu I,,
Enigalapsubianus I,,
Eninnu I,,
Enir I,,
Enirmah I,,
Enitendu I,,
Enki I,,
Enki II,,
Enkidu I,,
Enkimdu I,,
Enkišar I,,
Enku I,,
Enkum I,,
Enkummu I,,
Enlil-ban-kudurri I,,
Enlilbanda I,,
Enlilzi I,,
Enmebuluŋa I,,
Enmeduga I,,
Enmeduranki I,,
Enmegalama I,,
Enmekar I,,
Enmelulu I,,
Enmeurana I,,
Enmeušumgalana I,,
Enmešara I,,
Enmul I,,
Ennapšu I,,
Ennet-Aššur I,,
Ennugi I,,
Ennugigi I,,
Ensigalabzu I,,
Ensimah I,,
Entenamašhum I,,
Enul I,,
Enunmah I,,
Enutila I,,
Enzišusikila I,,
Enzu I,,
Enšaluluʾa I,,
Enšar I,,
Epa I,,
Epada I,,
Epadun I,,
Epinnu I,,
Equ I,,
Erabriri I,,
Erba-ilani I,,
Erebu I,,
Ereqqu I,,
Ereqqu Ša Šame I,,
Ereš-Issar I,,
Ereš-ilu I,,
Ereškigal I,,
Erešu I,,
Erib-ilani I,,
Eriba I,,
Eriba-Adad I,,
Eriba-Aššur I,,
Eriba-ilani I,,
Eriba-ilu I,,
Eribua I,,
Eridayu I,,
Eridu I,,
Eridug I,,
Erihi I,,
Erimabinutuku I,,
Eriš I,,
Erkallu I,,
Erra I,,
Erra-dala I,,
Erra-gamil I,,
Erragal I,,
Errakalkal I,,
Eru I,,
Erua I,,
Erudi I,,
Erṣet-La-Tari I,,
Erṣetu I,,
Esabad I,,
Esaggil I,,
Esaggil-kin-apli I,,
Esaggil-kin-ubbib I,,
Esapar I,,
Esarhaddon I,,
Esikil I,,
Esiskur I,,
Esu I,,
Esuena I,,
Esusugara I,,
Etalak I,,
Etana I,,
Etarsirsir I,,
Etel-Ištar I,,
Etemenanki I,,
Etemenniuru I,,
Etilmun I,,
Etinaya I,,
Eturkalama I,,
Eulhemešudu I,,
Eulmaš I,,
Eunir I,,
Eunirkitušmah I,,
Eura I,,
Eursaga I,,
Euruamaki I,,
Euršaba I,,
Evil-Merodach I,,
Ezalaga I,,
Ezbu I,,
Ezbu-lešir I,,
Ezi I,,
Ezi-pašar I,,
Eziat I,,
Ezibatila I,,
Ezida I,,
Eziye I,,
EzukešHUHU I,,
Ešaba I,,
Ešagara I,,
Ešagmah I,,
Ešapsu I,,
Ešara I,,
Ešarra I,,
Ešbaranki I,,
Ešerayu I,,
Ešlilidiriga I,,
Ešmah I,,
Ešmah II,,
Ešme-karab I,,
Ešnuna I,,
Ešrayu I,,
Ešumeša I,,
Eššeb I,,
Eṣidayu I,,
Eṭeru I,,
Eṭir-Marduk I,,
Eṭirtu I,,
Eṭiru I,,
Ga'u I,,
Gabbu-amur I,,
Gabbu-ana-Aššur I,,
Gabbu-ilani I,,
Gabbu-ilani-ereš I,,
Gabbu-ina-qat-ili I,,
Gallulu I,,
Gamalu I,,
Gambulaya I,,
Gambulayu I,,
Gambulu I,,
Gamlu I,,
Ganata I,,
Garruṣu I,,
Gasupi I,,
Gašrānu I,"""strong"" M/NA as DN;",gašru I
Gimillu I,,
Giritu I,,
Giru I,,
Gišnumunab I,,
Gugu I,,
Gunura I,,
Guzummanu I,,
Guzummanu II,,
Gušur I,,
Habanu I,,
Habaṣiranu I,,
Habbur-Issar I,,
Habruri I,,
Habur I,,
Hahhuru I,,
Halbatu I,(a month) OB(Elam),
Hallaba I,,
Hallabeše I,,
Hallapaya I,,
Hallataya I,,
Hallūt I,(a month) OAkk,
Haluʾa I,,
Hamannu I,"(a month) Nuzi; also Alal., a copper item ?",
Hamaṭuṭu I,,
Hammu-rabi I,,
Hammurapi I,,
Hamu I,,
Hamudu I,,
Hamun I,,
Hamunayu I,,
Hamurnu I,,
Hamurraya I,,
Hamuru I,,
Handuataya I,,
Handuate I,,
Hanunu I,,
Hanunu-il I,,
Hanuru I,,
Haqu-neši I,,
Hariruri I,,
Harmaku I,,
Harranu I,,
Harranu II,,
Harriru I,,
Harru I,,
Harruṣu I,,
Haruranu I,,
Haruṣa I,,
Hasabu I,,
Hasinu I,,
Hasisu I,,
Hasusi I,,
Hazannu I,,
Hazugu I,,
Hašanu I,,
Hašanu II,,
Haṭṭušu-aldi I,,
Hengallu I,,
Heruṭusu I,,
Hinnumu I,,
Hiritu I,,
Hubur I,"1. jB (underworld river)2. O/MA (a month), OA Hubur, MA usu. 3. jB hubur (a plant name)",
Hubuškaya I,,
Hubuškia I,,
Hulalu I,,
Hulutti I,,
Hunnuru I,,
Hunzu I,,
Hunzudi I,,
Hurrukidû I,,
Hurruṣu I,,
Huršubu I,(a month) OB(Susa),
Husurayu I,,
Hutalše I,(a month name) Nuzi;,cf. Hutizzi I
Hutizzi I,(a month) Alal.,cf. Hutalše I
Huzalu I,,
Huziru I,,
Huṣurayu I,,
Hūru II,(a month) Nuzi;,Hurr. 
I-maʾin I,,
Iamanu I,,
Iambar I,,
Ibala I,,
Ibašši-ilani I,,
Ibašši-ilaʾi I,,
Ibašši-ilu I,,
Ibbi-Sin I,,
Ibbi-Suen I,,
Ibila-Emah I,,
Ibla I,,
Ibna-Ištar I,,
Ibnaya I,,
Ibni-Ištar I,,
Ibni-Marduk I,,
Ibtaš-lešir I,,
Id I,"? ""River(-god)"" O/jB, M/NA [dÍD; dÍD.LÚ.RU.GÚ] ana I. alākum ""to go to the river-ordeal""; also term.-adv. Idiš jB; ša Id ""ferryman"" jB lex.;",Sum. 
Idamaraz I,,
Idat-Anu I,,
Iddati-Bel-allak I,,
Iddi I,,
Iddi-Meslamtaea I,,
Iddin-Nabu I,,
Iddin-Nergal I,,
Iddin-ahhe I,,
Iddin-ahi I,,
Iddina-ahi I,,
Iddinaya I,,
Iddinunu I,,
Iddiya I,,
Idduʾa I,,
Idiglat I,,
Idimhuš I,,
Idlurugu I,,
Idraya I,,
Idri-ahaʾu I,,
Idrunu I,,
Igalima I,,
Igi I,,
Igibarluti I,,
Igigu I,,
Igigû I,"""the (ten) great gods"" O/jB; ""the gods of heaven"" M/NB [dNUN.GAL(.MEŠ)]",
Iglanu I,,
Igli I,,
Ikitu I,,
Ikišītu I,"""Kiš canal"" jB lex.;",Sum. 
Ikkaru I,,
Ikkilu I,,
Iku I,,
Il-Amurru I,,
Il-Iau I,,
Il-Il-milki I,,
Il-Našuh-milki I,,
Il-Qisu I,,
Il-aba I,,
Il-abu-riba I,,
Il-amar I,,
Il-bana I,,
Il-dala I,,
Il-dusu I,,
Il-gabbe I,,
Il-gabbiri I,,
Il-gabri I,,
Il-hanana I,,
Il-iadini I,,
Il-idri I,,
Il-ili I,,
Il-immi I,,
Il-kabar I,,
Il-la-bunda I,,
Il-malak I,,
Il-manani I,,
Il-maʾadi I,,
Il-milki I,,
Il-natan I,,
Il-nuri I,,
Il-pada I,,
Il-padi I,,
Il-palṭi I,,
Il-qatar I,,
Il-suri I,,
Il-taka I,,
Il-tappa I,,
Il-yadaʾ I,,
Il-yadini I,,
Il-yatanu I,,
Il-šumki I,,
Ila I,,
Ila-eriba I,,
Ilaba I,,
Ilabbiašu I,,
Ilaʾi-Adad I,,
Ilaʾi-Bel I,,
Ilba I,,
Ileʾʾi-Marduk I,,
Ilha I,,
Ilhini I,,
Ili-abrat I,,
Ili-bani I,,
Ilip I,,
Iliyadaʾ I,,
Illabani I,,
Illat I,,
Illaya I,,
Illu I,,
Illuknu I,,
Illut-Anu I,,
Ilti-bassi I,,
Ilu-ahu-uṣur I,,
Ilu-balassu-iqbi I,,
Ilu-bani I,,
Ilu-biʾdi I,,
Ilu-dannu-ahšu-ibni I,,
Ilu-deni-amur I,,
Ilu-emuqaya I,,
Ilu-ereš I,,
Ilu-eriba I,,
Ilu-ibni I,,
Ilu-illika I,,
Ilu-ipuš I,,
Ilu-iqbi I,,
Ilu-ittiya I,,
Ilu-iṣbatanni I,,
Ilu-kabar I,,
Ilu-kenu-uṣur I,,
Ilu-kettu-iram I,,
Ilu-leʾi I,,
Ilu-liphur I,,
Ilu-mutaqqin I,,
Ilu-mušezib I,,
Ilu-naʾdi I,,
Ilu-piya-uṣur I,,
Ilu-remanni I,,
Ilu-taklak I,,
Ilu-tapputi I,,
Ilu-ukallanni I,,
Ilu-uṣur I,,
Ilu-šezib I,,
Ilu-šumu-kaʾʾin I,,
Ilu-ṣabtanni I,,
Ilumer I,,
Ilumma-leʾi I,,
Ilumma-lidgul I,,
Ilumma-taklak I,,
Ilussa I,,
Ilšu-šarranni I,,
Imaggar-qabuša I,,
Imanni-il I,,
Imannu I,,
Imba I,,
Imbi-Anu I,,
Imbiya I,,
Imgur-Illil I,,
Immani-Aššur I,,
Immaštašu I,,
Impurtanni I,(1st month at Nuzi);,Hurr. 
Imra I,,
In-mati I,,
Ina-qibi-Bel I,,
Ina-qibi-Bel-abluṭ I,,
Ina-qibit-Anu I,,
Ina-teši-eṭir I,,
Ina-šar-Aššur-allak I,,
Ina-šar-Bel-allak I,,
Ina-šar-Nabu-allak I,,
Ina-šar-Nergal-allak I,,
Ina-ṣilli-Taštimmu I,,
Inana I,,
Inanalal I,,
Inba I,,
Inbi-Aššur I,,
Indabiya I,,
Indi-Nergal I,,
Indibi I,,
Indu I,,
Inimanizi I,,
Innanni I,,
Innin I,,
Inurta I,,
Inurta--xxx I,,
Inurta-abu-uṣur I,,
Inurta-ahu-iddina I,,
Inurta-ahu-uṣur I,,
Inurta-alik-pani I,,
Inurta-aplu-iddina I,,
Inurta-ašared I,,
Inurta-bani-ahhe I,,
Inurta-belu-uṣur I,,
Inurta-ereš I,,
Inurta-eṭiranni I,,
Inurta-iddina I,,
Inurta-ilaʾi I,,
Inurta-isseʾa I,,
Inurta-kenu-uṣur I,,
Inurta-kibsi-uṣur I,,
Inurta-mukin-niše I,,
Inurta-mušezib I,,
Inurta-nadin-ahi I,,
Inurta-nadin-šumi I,,
Inurta-naṣir I,,
Inurta-raši I,,
Inurta-remanni I,,
Inurta-sukki I,,
Inurta-taklak I,,
Inurta-ubla I,,
Inurta-zeru-uṣur I,,
Inurta-šarru-uṣur I,,
Inurta-šezibanni I,,
Inurti I,,
Inṣabri I,,
Ipparšidu I,,
Ipqu I,,
Ipte-bitu I,,
Iqbaya I,,
Iqbi-Aššur I,,
Iqbi-Bel I,,
Iqbi-Bel II,,
Iqbi-damiq I,,
Iqbi-ilani I,,
Iqbi-ilu I,,
Iqisu I,,
Iqiša I,,
Iqiša-Marduk I,,
Iqišanni I,,
Iqišaya I,,
Iqubu I,,
Ira I,,
Iragal I,,
Irat Zuqaqipi I,,
Irbuaya I,,
Irhan I,,
Irhan-GUL I,,
Irigal I,,
Irinanam I,,
Irissi-ilani I,,
Irmuna I,,
Irnini I,,
Irqingu I,,
Irreʾa I,,
Irri I,,
Irtiašaya I,,
Irtu I,,
Irtukkanu I,,
Irugga I,,
Iršumu I,,
Irʾanni I,,
Irṣiṣu I,,
Is Le I,,
Isana I,,
Isanaya I,,
Isanayu I,,
Isi I,,
Isin I,,
Isinnayu I,,
Isinītu I,"""the Isin canal"" jB;",PlN 
Ispallure I,,
Isputu I,,
Issar-alik-pani I,,
Issar-aplu-iddina I,,
Issar-daʾʾininni I,,
Issar-dur-qalli I,,
Issar-duri I,,
Issar-emuqaya I,,
Issar-ereš I,,
Issar-ilaʾi I,,
Issar-iqiša I,,
Issar-mašlalati I,,
Issar-metu-balliṭ I,,
Issar-mukinnia I,,
Issar-nadin-ahhe I,,
Issar-nadin-apli I,,
Issar-naʾdi I,,
Issar-naṣir-duri I,,
Issar-paya I,,
Issar-rabi I,,
Issar-remanni I,,
Issar-tariba I,,
Issar-tazi I,,
Issar-tašme I,,
Issar-šarru-ibni I,,
Issar-šimanni I,,
Issar-šumu-ereš I,,
Issar-šumu-iddina I,,
Issar-šumu-iqiša I,,
Issar-šumu-lešir I,,
Issaran-belu-uṣur I,,
Issaran-mesi I,,
Issaran-mušallim I,,
Issaran-zeru-ibni I,,
Issaran-šumu-ukin I,,
Issete I,,
Issi-Adad-ahhutu I,,
Istuandaya I,,
Isu I,,
Isu II,,
Isuqaya I,,
Ittannu I,,
Itti-Adad-ahhutu I,,
Itti-Adad-anenu I,,
Itti-Anu-nuhšu I,,
Itti-ilišu-balaṭu I,,
Itti-Šamaš-balaṭu I,,
Ituʾaya I,,
Ituʾaya II,,
Ituʾayu I,,
Ituʾu I,,
Iyaze I,,
Izalla I,,
Izalli I,(or Azzalli ?) rdg. uncl. (a month) OB(Alal.),
Izirtu I,,
Izubītu I,(a canal) jB;,Sum. 
Izuzu I,,
Išar-lipissu I,,
Išartu I,,
Išbi-Erra I,,
Išhara I,,
Išhuru I,,
Iši-milku I,,
Iškur I,,
Išmanni-Adad I,,
Išmanni-Aššur I,,
Išme-ilu I,,
Išme-karab I,,
Išta-Šer I,,
Ištahup I,,
Ištar I,,
Ištar-Kakkabi I,,
Ištar-ah-iddin I,,
Ištar-hiṭua I,,
Ištar-iqiša I,,
Ištar-zer-ibni I,,
Ištar-zer-iddin I,,
Ištar-šum-ereš I,,
Ištar-šum-lilbir I,,
Ištar-šum-uṣur I,,
Ištaran I,,
Ištaran-mudammiq I,,
Išullanu I,,
Išum I,,
Iṣiye I,,
Iṣṣur I,,
Kablu-Issar I,,
Kabtu-il-Marduk I,,
Kadammu I,,
Kakkabu-Rabu I,,
Kakku I,,
Kakkullanu I,,
Kakkussu I,,
Kalbu I,,
Kalitu I,,
Kalumu I,,
Kamasu I,,
Kannu I,,
Kannuʾ I,,
Kannuʾaya I,,
Kanunaya I,,
Kanunayu I,,
Kanunu I,,
Karduniaš I,,
Karkuga I,,
Kayyamanu I,,
Kaššu I,,
Kaššudu I,,
Ke-Aya I,,
Ken-Adad I,,
Ken-abua I,,
Ken-abuʾa I,,
Keni I,,
Kenu-abuʾa I,,
Kenu-ahhe I,,
Kenu-ahu I,,
Kenuʾa I,,
Kephalon I,,
Kettu-uṣur I,,
Keš I,,
Ki I,,
Ki-Mama I,,
Ki-lamši I,,
Kiagakuga I,,
Kiagazida I,,
Kibabiše I,,
Kibatki I,,
Kibrat Erbetti I,,
Kiburti I,,
Kidin I,,
Kidin-Anu I,,
Kidin-Marduk I,,
Kidin-ili I,,
Kidin-Šamaš I,,
Kidinni I,,
Kidmuri I,,
Kigir I,,
Kiguhtu I,,
Kilaku I,,
Kilar I,,
Kilibdaŋal I,,
Kilili I,,
Kilizaya I,,
Kilizaya II,,
Kilizi I,,
Kimar I,,
Kimumaya I,,
Kimṣu I,,
Kina I,,
Kinanni-Issar I,,
Kinaya I,,
Kindazi I,,
Kinihma I,,
Kinma I,,
Kinna I,,
KinnuSUM I,,
Kinunu I,,
Kinūnû I,"f. Kinūnītu; Ki/anūnāya ""born on the Kinūnu festival"" M/NB, NA [KI.NE(.NE)- ; NA ITI.AB- ];",kinūnu I
Kippatu I,,
Kipre I,,
Kipšuna I,,
Kiqillanu I,,
Kiribtu I,,
Kiribtu-Aššur I,,
Kirimah I,,
Kirizalkalama I,,
Kirmesi I,,
Kisa I,,
Kisalšaba I,,
Kisigar I,,
Kisiri I,,
Kiskīsu I,"(3rd? month) Mari, OB(Ešn.)",
Kislimu I,,
Kislīmu I,(9th Bab. month) M/NB [ITI.GAN(.GAN.NA); OB rdg. uncert.];,kissilīmû I
Kissik I,,
Kissikaya I,,
Kittu I,,
Kitušhenuna I,,
Kitušinimdugala I,,
Kitušsilima I,,
Kiunuga I,,
Kizahasi I,,
Kizalaga I,,
Kiš I,,
Kišar I,,
Kišargal I,,
Kišaya I,,
Kišayu I,,
Kišenšena I,,
Kišqaya I,,
Kišqaya II,,
Kišu I,,
Kiššītu I,"""of Kiš"" O/jB epith. of Ištar;",PlN Kiš 
Kiʾugu I,,
Kiṣir-Aššur I,,
Kiṣir-Issar I,,
Kiṣir-Nabu I,,
Kiṣir-šarri I,,
Kiṣirtu I,,
Kuar I,,
Kubaba-ereš I,,
Kubaba-ilaʾi I,,
Kubaba-satar I,,
Kubabu-ahu-iddina I,,
Kubabu-ereš I,,
Kubabu-eriba I,,
Kubabu-ilaʾi I,,
Kubabu-lunu I,,
Kubabu-sapi I,,
Kubanaše I,,
Kubu I,,
Kudana I,,
Kudurranu I,,
Kudurrišu I,,
Kudurru I,,
Kugsud I,,
Kuisa I,,
Kukab I,,
Kukkullayu I,,
Kukulu I,,
Kulab I,,
Kulaba I,,
Kulaya I,,
Kulbibi I,,
Kulimmeri I,,
Kulla I,,
Kullab I,,
Kullania I,,
Kullulu I,,
Kuluman I,,
Kulumanaya I,,
Kuluna I,,
Kuluʾ-Issar I,,
Kumesaya I,,
Kummaya I,,
Kummaya II,,
Kumme I,,
Kummuhaya I,,
Kummuhi I,,
Kuna I,,
Kunasi I,,
Kunaya I,,
Kur I,,
Kur-ilaʾi I,,
Kurašuurur I,,
Kurbail I,,
Kurbailaya I,,
Kurbanu I,,
Kurgulgul I,,
Kuri I,,
Kuribba I,,
Kurigalzu I,,
Kurkura I,,
Kurnugi I,"""The Underworld"" Bab. lex.;",Sum. 
Kurra-dimri I,,
Kuruku I,,
Kurunam I,,
Kurʾe-Inurta I,,
Kurʾe-nadin-ahi I,,
Kurʾe-uballiṭ I,,
Kusani I,,
Kusaya I,,
Kusayu I,,
Kusibanda I,,
Kusini I,,
Kusisi I,,
Kusitu I,,
Kusu I,,
Kusu II,,
Kutaya I,,
Kutayu I,,
Kute I,,
Kuti I,,
Kuttia I,,
Kutušar I,,
Kuyaka I,,
Kuza I,,
Kuškaya I,,
Kušu I,,
Kuṣura I,,
LUM-ma I,,
La-abaši I,,
La-amašši I,,
La-amašši-Bel I,,
La-baši I,,
La-dagil-ili I,,
La-gamal I,,
La-qebu I,,
La-qepu I,,
La-tarak I,,
La-teggi-Nanaya I,,
La-teggi-ana-Issar I,,
La-tubašanni I,,
La-tubašanni-Adad I,,
La-tubašanni-Dadi I,,
La-tubašanni-Issar I,,
La-tubašanni-ilu I,,
La-ṣahittu I,,
Labananu I,,
Labarmu I,,
Labasi I,,
Labaši I,,
Labaši-Marduk I,,
Labaši-ili I,,
Labaʾu I,,
Labaṭi I,,
Labbanat I,,
Labdudaya I,,
Labdudu I,,
Labigaya I,,
Labiraya I,,
Labāṣu I,"(a disease demon) jB [dDÌM.ME.A] as demon, as disease",
Laduqi I,,
Laguda I,,
Lahamu I,,
Lahar I,,
Lahhu I,"(a month) Mari, OB(Susa)",
Lahiraya I,,
Lahirayu I,,
Lahiru I,,
Lahmu I,,
Lahru I,,
Lahuratil I,,
Laia I,,
Lalgar I,,
Lallubû I,"(a month) O/jB; 6th month, OB(Susa); 7th month, jB astr.; OB fPN at Susa Lallubītu",
Laluru I,,
Lamassu I,,
Lamaštu I,,
Lammaedin I,,
Lammagaga I,,
Lammasiga I,,
Lansi I,,
Lanše I,,
Lapsare I,,
Lapsia I,,
Laqaya I,,
Laqe I,,
Laqip I,,
Laqipu I,,
Laqisu I,,
Larak I,,
Larakaya I,,
Larsa I,,
Laruba I,,
Latubašinni I,,
Laṣ I,,
Libušu I,,
Likkaše I,(a month) OB(Alal.),
Lillu II,Bab.  1. (a demon)2. (a god),
Lipugu I,,
Lu-Nanna I,,
Lu-ahhe I,,
Lu-ahi I,,
Lu-ahuʾa I,,
Lu-balaṭ I,,
Lu-balṭat I,,
Lu-dumununa I,,
Lu-haʾil I,,
Lu-ki-Mama I,,
Lu-terik-šarrussu I,,
Lu-šakin I,,
Lu-šalim I,,
Lubašanni-ilu I,,
Lubbur-pi I,,
Lubda I,,
Luddin-ilu I,,
Ludune I,,
Lugal I,,
Lugal-asal I,,
LugalABa I,,
LugalGUDGAZ I,,
LugalGUDGUD I,,
LugalX I,,
LugalX II,,
LugalXsukuda I,,
Lugalabdubur I,,
Lugalamašpae I,,
Lugalamura I,,
Lugalbaguba I,,
Lugalbahar I,,
Lugalbanda I,,
Lugaldimerankia I,,
Lugaldiŋira I,,
Lugaldukuga I,,
Lugaldurmah I,,
Lugaledina I,,
Lugalešbara I,,
Lugalganasusu I,,
Lugalgururugu I,,
Lugalharrana I,,
Lugalheŋal I,,
Lugalira I,,
Lugalkirizal I,,
Lugalkisa I,,
Lugalkušsusu I,,
Lugalmarada I,,
Lugalnirgal I,,
Lugaludtešduga I,,
Lugalura I,,
Lugalušimsusu I,,
Lugalšenšena I,,
Lugalšuanna I,,
Lugalšude I,,
Luhayati I,,
Luhurater I,,
Luhutaya I,,
Luhušu I,,
Lulabbir-šarrussu I,,
Lulal I,,
Lulbû I,,
Lulimu I,,
Luliʾaya I,,
Lulla-Bel I,,
Lullupaya I,,
Lumha I,,
Luppudu I,,
Luqaše I,,
Luqu I,,
Lurisite I,,
Lussumu I,,
Lutu I,,
Luštammar-Adad I,,
Luṣ-ana-nur-Šamaš I,,
Luṣi-ana-nur-Erra I,,
Luṣi-ana-nuri I,,
Ma I,,
Ma-Ana I,,
Mabandaʾana I,,
Madaktu I,,
Madaya I,,
Madayu I,,
Madkiru I,,
Madunu I,,
Madānu I,"DN ""the Divine Judge"" Bab. [dDI.KUD] jB; also = Marduk, Enlil;",diānu I
Magan I,,
Maganiṣi I,,
Maganuba I,,
Magidu I,,
Magiru I,,
Magmaru I,(a month) ;,Ug. 
Magrat-amassu I,,
Magulana I,,
Magur I,,
Mahde I,,
Mahite I,,
Mahsi-Yau I,,
Mahumaya I,,
Makkame I,,
Makru I,,
Makurru I,,
Malahu I,,
Malak I,,
Malakaya I,,
Malaku I,,
Malezazi I,,
Malgadi I,,
Malgium I,,
Maliasu I,,
Maliktu I,,
Maliyati I,,
Malkānu I,(2nd? month) Mari;,malku I
Malukatu I,,
Mami I,,
Mammetu I,,
Mammītu I,"(name of a goddess); OAkk, Bab. warah M. (a winter month);",mammû Icf. mumītu I
Mamu I,,
Mamu-iqbi I,,
Mana I,(a month) OB(N.Mes.),
Mananu I,,
Mandidi I,,
Mandiraya I,,
Maniʾ I,,
Manna I,,
Mannaipite I,,
Mannaya I,,
Manni I,,
Mannu-dan-ana-ili I,,
Mannu-iqapu I,,
Mannu-iqbi I,,
Mannu-iri I,,
Mannu-ka-Seʾ I,,
Mannu-ki I,,
Mannu-ki-Adad I,,
Mannu-ki-Adad-milki I,,
Mannu-ki-Adda I,,
